model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_115,3965,0.8961962245007028,0.7775721788347982,0.22242782116520177,0.980558805832963,0.21875
model_trial_116,1985,0.9023080463009339,0.7648794676196782,0.23512053238032177,0.981169555634167,0.34375
model_trial_117,3905,0.8911868680032842,0.7628990660365664,0.23710093396343362,0.9808853453306363,0.65625
model_trial_118,5585,0.9463202897027272,0.8272394411336967,0.17276055886630323,0.9803290187790447,0.2734375
model_trial_119,7177,0.9514558011760705,0.8563740207594462,0.14362597924055379,0.9805255471804222,0.484375
model_trial_120,5185,0.8889856138574566,0.7677790174184633,0.23222098258153662,0.9809639566911874,0.46875
model_trial_121,6241,0.9029661487670162,0.7238534079536556,0.2761465920463444,0.9801445844331365,0.4296875
model_trial_122,977,0.8895850438037822,0.7016638396812007,0.2983361603187993,0.9804197241950651,0.3359375
model_trial_123,3325,0.8902247826518128,0.780468705119716,0.21953129488028397,0.9803078541819732,0.4453125
model_trial_124,3301,0.8597112267753273,0.6143145240535646,0.38568547594643543,0.9807039344985956,0.3828125
model_trial_125,2597,0.909693626542854,0.7262601249920633,0.27373987500793673,0.9808188280255548,0.453125
model_trial_126,1801,0.9272387435208189,0.7604500198040158,0.23954998019598417,0.9802776190432998,0.4921875
model_trial_127,2009,0.5938785418448277,0.01596112970572139,0.9840388702942786,0.9905273310536039,-0.5
model_trial_128,7065,0.9352833470841098,0.7968168446004578,0.20318315539954224,0.980192960655014,0.3671875
model_trial_129,4049,0.88154195303043,0.6522233409223531,0.3477766590776469,0.9811211794122894,0.296875
model_trial_130,5885,0.9486654917439012,0.8520443489014062,0.14795565109859377,0.9802322663352896,0.6015625
model_trial_131,2613,0.9285917623975057,0.7867394728805923,0.21326052711940763,0.9802897130987691,0.5
model_trial_132,6381,0.9434924964543671,0.8290837845927781,0.17091621540722196,0.9799994557675039,0.38124847412109375
model_trial_133,5233,0.897028551055893,0.7599329989326996,0.2400670010673004,0.9800508555032488,0.421875
model_trial_134,7177,0.9391477168908158,0.8474486078230398,0.15255139217696023,0.980271572015565,0.5703125
model_trial_135,4569,0.9336601710028374,0.8462271082206319,0.15377289177936815,0.980105278752861,0.5703125
model_trial_136,7121,0.9004958297872684,0.7499433091149872,0.25005669088501276,0.9808944158722384,0.390625
model_trial_137,2685,0.5781171662262045,0.11596082735433466,0.8840391726456653,0.983606507811248,-0.1015625
model_trial_138,5837,0.8810752710902632,0.6897995712657337,0.3102004287342664,0.9812118848283098,0.453125
model_trial_139,3937,0.8308839436723683,0.6565772008913319,0.34342279910866813,0.9803169247235752,0.390625
model_trial_140,4593,0.8987873376866922,0.78216187288543,0.21783812711457,0.9806222996241772,0.4609375
model_trial_141,765,0.8852135261750291,0.7160739067729733,0.2839260932270266,0.9807825458591466,0.390625
model_trial_142,2401,0.39745498004573865,0.0,1.0,1.0,-1.0
model_trial_143,5529,0.9458410982151592,0.8456798522106421,0.15432014778935785,0.9802413368768916,0.5859375
model_trial_144,705,0.8806994810097853,0.6633801070928611,0.33661989290713884,0.9800508555032488,0.4453125
model_trial_145,5669,0.9363850817188022,0.8378459277803478,0.16215407221965222,0.9800841141557896,0.4140625
model_trial_146,5813,0.9222017066931986,0.7982711547706514,0.20172884522934864,0.980558805832963,0.34375
model_trial_147,3365,0.9446802381246368,0.8485552138984885,0.15144478610151146,0.980192960655014,0.6015625
model_trial_148,4021,0.8961384934369111,0.7601295273340771,0.23987047266592287,0.9811242029261568,0.578125
model_trial_149,6269,0.9160826114736118,0.7741465376230948,0.22585346237690518,0.9805467117774935,0.6171875
model_trial_150,3253,0.8234018773922526,0.5269047381485815,0.4730952618514185,0.9805618293468303,0.25
model_trial_151,4845,0.8803741183332111,0.7026374111464861,0.2973625888535138,0.9803562304038508,0.40625
model_trial_152,3253,0.8778580085005467,0.7228375072942272,0.2771624927057728,0.9805074060972181,0.3828125
model_trial_153,1393,0.9355773875032156,0.8230548979412894,0.17694510205871058,0.9805557823190956,0.578125
model_trial_154,1661,0.9263110113316961,0.7975334173870189,0.20246658261298114,0.98096093317732,0.609375
model_trial_155,5885,0.8966030452798781,0.7830900916427053,0.21690990835729468,0.9804227477089323,0.4296875
model_trial_156,1801,0.9370857692808469,0.8229248868449935,0.17707511315500649,0.9801203963221977,0.5
model_trial_157,3313,0.8942902149285723,0.7824551537305626,0.2175448462694374,0.9805648528606976,0.4375
model_trial_158,7121,0.9425556550088133,0.8385504065114395,0.16144959348856053,0.9805074060972181,0.5
model_trial_159,4569,0.5643485250256975,0.0,1.0,1.0,-1.0
