model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_1*_ff,dsp,bram,hls_source,fullPath
model1,model1_6w8i,822,45.0,0.8534839025694644,0.5528857928106887,5748,3899,7697.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_822.h5
model1,model1_6w8i,828,19.0,0.7808397630276929,0.5144901902092573,4358,2796,5756.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_828.h5
model1,model1_6w8i,835,43.0,0.8392737985471621,0.5091415941779217,6346,4191,8441.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_835.h5
model1,model1_6w8i,827,31.0,0.854693929802508,0.4904774430747927,5015,3354,6692.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_827.h5
model1,model1_6w8i,832,25.0,0.5,0.0,5359,3355,7036.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_832.h5
model1,model1_8w10i,1047,391.0,0.9480106694019824,0.8216761756177795,19927,13546,26700.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1047.h5
model1,model1_8w10i,1059,415.0,0.947456840171684,0.8201311600315655,21526,15041,29046.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1059.h5
model1,model1_8w10i,1046,265.0,0.9483342619652744,0.8197864794506879,16404,11114,21961.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1046.h5
model1,model1_8w10i,1052,337.0,0.9484628475742566,0.8191273534276065,19992,13519,26751.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1052.h5
model1,model1_8w10i,1053,267.0,0.946192296362065,0.816983682095658,17662,12003,23663.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1053.h5
model1,model1_8w10i,1042,211.0,0.9452101569303348,0.8128263505280566,14687,9963,19668.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1042.h5
model1,model1_8w10i,1051,205.0,0.9393380025374588,0.8116985798555365,15087,9978,20076.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1051.h5
model1,model1_8w10i,1048,163.0,0.9452931797976464,0.809494438246241,12549,8322,16710.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1048.h5
model1,model1_8w10i,1036,155.0,0.9449033654783686,0.7964479759086415,11712,7923,15673.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1036.h5
model1,model1_8w10i,1031,121.0,0.9418471349615152,0.7960277074810804,10011,6666,13344.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1031.h5
model1,model1_8w10i,1029,199.0,0.944832579646286,0.7957495442052844,12370,8285,16512.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1029.h5
model1,model1_8w10i,1050,151.0,0.9367825873353348,0.7926443954635198,12634,8625,16946.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1050.h5
model1,model1_8w10i,1034,91.0,0.9343880440263256,0.7755554950852782,8508,5855,11435.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1034.h5
model1,model1_8w10i,1045,121.0,0.933534925656272,0.7699347828058813,10571,7240,14191.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1045.h5
model1,model1_8w10i,1026,79.0,0.9044368431625038,0.704530130827445,7473,5010,9978.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1026.h5
model1,model1_8w10i,1025,99.0,0.9050811717472034,0.7024106476064352,8737,5883,11678.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1025.h5
model1,model1_8w10i,1032,65.0,0.924199130350122,0.7006600330772417,7397,5024,9909.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1032.h5
model1,model1_8w10i,1040,55.0,0.9047597470040728,0.6933310354627942,7637,5044,10159.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1040.h5
model1,model1_8w10i,1024,61.0,0.8907346645635281,0.6870753852712546,6445,4470,8680.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1024.h5
model1,model1_8w10i,1022,45.0,0.8617684506870918,0.5791177991237857,5708,3915,7665.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1022.h5
model1,model1_8w10i,1035,25.0,0.82340753744996,0.5565563386456471,5319,3371,7004.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1035.h5
model1,model1_8w10i,1039,43.0,0.8587095367983674,0.5491064004765058,6306,4207,8409.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1039.h5
model1,model1_8w10i,1057,37.0,0.812378659139346,0.5379738224169366,7321,4489,9565.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1057.h5
model1,model1_8w10i,1028,19.0,0.8116697974599648,0.5298526641692443,4318,2812,5724.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1028.h5
model1,model1_8w10i,1027,31.0,0.8368847299720428,0.4159931789527152,4975,3370,6660.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1027.h5
model1,model1_10w12i,1248,463.0,0.9476124579048766,0.8211017079829837,23327,14856,30755.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1248.h5
model1,model1_10w12i,1250,337.0,0.9470224804011428,0.8206118987364736,20700,13595,27497.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1250.h5
model1,model1_10w12i,1252,415.0,0.948365706080752,0.8205695695423307,23295,15141,30865.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1252.h5
model1,model1_10w12i,1240,391.0,0.9475972966750856,0.8204365349321675,20589,13582,27380.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1240.h5
model1,model1_10w12i,1245,325.0,0.9470105130167542,0.8184107806410454,18975,12461,25205.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1245.h5
model1,model1_10w12i,1256,267.0,0.9476773113910494,0.8160040636026378,19002,12061,25032.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1256.h5
model1,model1_10w12i,1235,281.0,0.946628167711278,0.8145074242383012,15807,10542,21078.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1235.h5
