model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_0.5*_ff,dsp,bram,hls_source,fullPath
model1,model1_6w8i,835,43.0,0.8392737985471621,0.5091415941779217,2618,1703,3469.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_835.h5
model1,model1_6w8i,827,31.0,0.854693929802508,0.4904774430747927,1891,1311,2546.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_827.h5
model1,model1_6w8i,832,25.0,0.5,0.0,1995,1324,2657.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_832.h5
model1,model1_8w10i,1047,391.0,0.9480106694019824,0.8216761756177795,9063,6873,12499.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1047.h5
model1,model1_8w10i,1059,415.0,0.947456840171684,0.8201311600315655,9626,7591,13421.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1059.h5
model1,model1_8w10i,1046,265.0,0.9483342619652744,0.8197864794506879,8209,5457,10937.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1046.h5
model1,model1_8w10i,1052,337.0,0.9484628475742566,0.8191273534276065,10109,6721,13469.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1052.h5
model1,model1_8w10i,1053,267.0,0.946192296362065,0.816983682095658,8096,5912,11052.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1053.h5
model1,model1_8w10i,1042,211.0,0.9452101569303348,0.8128263505280566,6654,4873,9090.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1042.h5
model1,model1_8w10i,1051,205.0,0.9393380025374588,0.8116985798555365,7570,4552,9846.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1051.h5
model1,model1_8w10i,1048,163.0,0.9452931797976464,0.809494438246241,6216,3766,8099.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1048.h5
model1,model1_8w10i,1036,155.0,0.9449033654783686,0.7964479759086415,5208,3834,7125.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1036.h5
model1,model1_8w10i,1031,121.0,0.9418471349615152,0.7960277074810804,4867,2980,6357.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1031.h5
model1,model1_8w10i,1029,199.0,0.944832579646286,0.7957495442052844,4994,4087,7037.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1029.h5
model1,model1_8w10i,1050,151.0,0.9367825873353348,0.7926443954635198,6075,3900,8025.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_secondary/model_trial_1050.h5
model1,model1_8w10i,1034,91.0,0.9343880440263256,0.7755554950852782,3944,2588,5238.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1034.h5
